Instance,Algorithm,Status,Gap,Time
instance_n1000_c1000_10_5_10_5_0,astar,OPTIMAL,0.0,1241.0
instance_n1000_c1000_10_5_10_5_0,ddo,SAT,44.09756097560975,4476.0
instance_n1000_c1000_10_5_10_5_1,astar,OPTIMAL,0.0,1273.0
instance_n1000_c1000_10_5_10_5_1,ddo,SAT,43.84765625,4077.0
instance_n1000_c1000_10_5_10_5_2,astar,OPTIMAL,0.0,1419.0
instance_n1000_c1000_10_5_10_5_2,ddo,SAT,41.97651663405088,4206.0
instance_n1000_c1000_10_5_10_5_3,astar,UNKNOWN,0.0,4001.0
instance_n1000_c1000_10_5_10_5_3,ddo,SAT,48.12563323201621,4199.0
instance_n1000_c1000_10_5_10_5_4,astar,OPTIMAL,0.0,681.0
instance_n1000_c1000_10_5_10_5_4,ddo,SAT,43.10344827586207,4550.0
instance_n1000_c1000_10_5_10_5_5,astar,UNKNOWN,0.0,4001.0
instance_n1000_c1000_10_5_10_5_5,ddo,SAT,42.034548944337814,4407.0
instance_n1000_c1000_10_5_10_5_6,astar,OPTIMAL,0.0,2229.0
instance_n1000_c1000_10_5_10_5_6,ddo,SAT,40.592168099331424,4699.0
instance_n1000_c1000_10_5_10_5_7,astar,UNKNOWN,0.0,4001.0
instance_n1000_c1000_10_5_10_5_7,ddo,SAT,38.95238095238095,4718.0
instance_n1000_c1000_10_5_10_5_8,astar,OPTIMAL,0.0,2119.0
instance_n1000_c1000_10_5_10_5_8,ddo,SAT,41.04265402843602,4671.0
instance_n1000_c1000_10_5_10_5_9,astar,UNKNOWN,0.0,4001.0
instance_n1000_c1000_10_5_10_5_9,ddo,SAT,40.36433365292426,4664.0
