Instance,Algorithm,Status,Gap,Time
instance_n1000_c1000_10_5_10_5_0,astar,OPTIMAL,0.0,1.309
instance_n1000_c1000_10_5_10_5_0,ddo,SAT,37.77985074626866,6.733
instance_n1000_c1000_10_5_10_5_1,astar,OPTIMAL,0.0,1.264
instance_n1000_c1000_10_5_10_5_1,ddo,SAT,39.62085308056872,6.89
instance_n1000_c1000_10_5_10_5_2,astar,OPTIMAL,0.0,1.304
instance_n1000_c1000_10_5_10_5_2,ddo,SAT,36.62900188323917,6.363
instance_n1000_c1000_10_5_10_5_3,astar,UNKNOWN,100.0,5.001
instance_n1000_c1000_10_5_10_5_3,ddo,SAT,42.91300097751711,6.61
instance_n1000_c1000_10_5_10_5_4,astar,OPTIMAL,0.0,0.671
instance_n1000_c1000_10_5_10_5_4,ddo,SAT,38.5899814471243,6.539
instance_n1000_c1000_10_5_10_5_5,astar,OPTIMAL,0.0,4.665
instance_n1000_c1000_10_5_10_5_5,ddo,SAT,38.967136150234744,6.464
instance_n1000_c1000_10_5_10_5_6,astar,OPTIMAL,0.0,1.946
instance_n1000_c1000_10_5_10_5_6,ddo,SAT,35.418583256669734,6.984
instance_n1000_c1000_10_5_10_5_7,astar,OPTIMAL,0.0,4.91
instance_n1000_c1000_10_5_10_5_7,ddo,SAT,34.59409594095941,6.827
instance_n1000_c1000_10_5_10_5_8,astar,OPTIMAL,0.0,2.118
instance_n1000_c1000_10_5_10_5_8,ddo,SAT,36.63911845730028,6.925
instance_n1000_c1000_10_5_10_5_9,astar,UNKNOWN,100.0,5.001
instance_n1000_c1000_10_5_10_5_9,ddo,SAT,36.312849162011176,7.141
instance_n100_c500_10_5_10_5_0,astar,OPTIMAL,0.0,0.065
instance_n100_c500_10_5_10_5_0,ddo,OPTIMAL,0.0,0.338
instance_n100_c500_10_5_10_5_1,astar,OPTIMAL,0.0,0.049
instance_n100_c500_10_5_10_5_1,ddo,OPTIMAL,0.0,0.376
instance_n100_c500_10_5_10_5_2,astar,OPTIMAL,0.0,0.068
instance_n100_c500_10_5_10_5_2,ddo,OPTIMAL,0.0,0.284
instance_n100_c500_10_5_10_5_3,astar,OPTIMAL,0.0,0.037
instance_n100_c500_10_5_10_5_3,ddo,OPTIMAL,0.0,0.318
instance_n100_c500_10_5_10_5_4,astar,OPTIMAL,0.0,0.061
instance_n100_c500_10_5_10_5_4,ddo,OPTIMAL,0.0,0.398
instance_n100_c500_10_5_10_5_5,astar,OPTIMAL,0.0,0.061
instance_n100_c500_10_5_10_5_5,ddo,OPTIMAL,0.0,0.355
instance_n100_c500_10_5_10_5_6,astar,OPTIMAL,0.0,0.04
instance_n100_c500_10_5_10_5_6,ddo,OPTIMAL,0.0,0.318
instance_n100_c500_10_5_10_5_7,astar,OPTIMAL,0.0,0.064
instance_n100_c500_10_5_10_5_7,ddo,OPTIMAL,0.0,0.533
instance_n100_c500_10_5_10_5_8,astar,OPTIMAL,0.0,0.055
instance_n100_c500_10_5_10_5_8,ddo,OPTIMAL,0.0,0.429
instance_n100_c500_10_5_10_5_9,astar,OPTIMAL,0.0,0.136
instance_n100_c500_10_5_10_5_9,ddo,OPTIMAL,0.0,0.326
