Instance,Algorithm,Status,Gap,Time
instance_n1000_c1000_10_5_10_5_0,astar,OPTIMAL,0.0,1.37
instance_n1000_c1000_10_5_10_5_0,ddo,SAT,9.07749077490775,26.246
instance_n1000_c1000_10_5_10_5_1,astar,OPTIMAL,0.0,1.282
instance_n1000_c1000_10_5_10_5_1,ddo,SAT,9.598214285714286,26.129
instance_n1000_c1000_10_5_10_5_2,astar,OPTIMAL,0.0,1.294
instance_n1000_c1000_10_5_10_5_2,ddo,SAT,7.795100222717149,24.525
instance_n1000_c1000_10_5_10_5_3,astar,UNKNOWN,0.0,4.001
instance_n1000_c1000_10_5_10_5_3,ddo,SAT,9.842223891810669,26.661
instance_n1000_c1000_10_5_10_5_4,astar,OPTIMAL,0.0,1.06
instance_n1000_c1000_10_5_10_5_4,ddo,SAT,8.417997097242381,25.553
instance_n1000_c1000_10_5_10_5_5,astar,UNKNOWN,0.0,4.001
instance_n1000_c1000_10_5_10_5_5,ddo,SAT,8.730741012472487,29.965
instance_n1000_c1000_10_5_10_5_6,astar,OPTIMAL,0.0,2.145
instance_n1000_c1000_10_5_10_5_6,ddo,SAT,8.070432868672047,28.246
instance_n1000_c1000_10_5_10_5_7,astar,UNKNOWN,0.0,4.001
instance_n1000_c1000_10_5_10_5_7,ddo,SAT,8.074074074074074,25.787
instance_n1000_c1000_10_5_10_5_8,astar,OPTIMAL,0.0,2.282
instance_n1000_c1000_10_5_10_5_8,ddo,SAT,7.748008689355539,27.674
instance_n1000_c1000_10_5_10_5_9,astar,UNKNOWN,0.0,4.001
instance_n1000_c1000_10_5_10_5_9,ddo,SAT,8.284023668639053,24.932
