GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.modeling,InvalidSolutionException,4,0,0,0,2,0,1,0,1,0
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.cache,SimpleCache.Layer,22,94,0,6,5,21,2,7,2,4
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.cache,Cache,10,24,5,3,0,6,3,2,0,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.cache,SimpleCache,69,93,6,8,15,19,6,10,3,6
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.cache,Threshold,9,41,0,2,2,13,2,7,2,6
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.compilation,CompilationType,0,21,0,0,0,4,0,1,0,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.knapsack,KSRelax,0,23,0,2,0,8,0,4,0,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.knapsack,KSProblem,45,380,4,16,5,81,4,20,0,14
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.knapsack,KSFastLowerBound,0,116,0,8,0,22,0,6,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.knapsack,KSFastLowerBound.new Comparator() {...},0,18,0,0,0,2,0,2,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.knapsack,KSDdoMainWithCluster,50,0,2,0,10,0,4,0,3,0
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.knapsack,KSAlgo,103,0,6,0,15,0,6,0,3,0
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.knapsack,KSDominance,0,15,0,2,0,3,0,4,0,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.knapsack,KSRanking,0,9,0,0,0,2,0,2,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.knapsack,KSDistance,9,19,0,0,1,4,1,2,1,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.knapsack,KSDdoMainWithCluster.new DdoModel() {...},67,0,0,0,12,0,12,0,12,0
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.lcs,LCSDp,0,151,0,10,0,22,0,8,0,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.lcs,LCSProblem,141,586,5,39,23,101,6,46,2,28
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.lcs,LCSFastLowerBound,0,86,0,6,0,13,0,5,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.lcs,LCSRanking,2,34,0,2,1,7,1,3,1,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.lcs,LCSState,2,26,1,1,1,7,1,4,0,4
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.lcs,LCSRelax,0,50,0,4,0,11,0,5,0,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.smic,SMICDominance,0,18,0,2,0,3,0,4,0,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.smic,SMICProblem,102,352,4,24,21,65,5,20,1,10
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.smic,SMICGenrator,341,0,40,0,57,0,22,0,2,0
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.smic,SMICDominanceKey,5,6,0,0,1,1,1,1,1,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.smic,SMICRanking,0,9,0,0,0,2,0,2,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.smic,SMICState,0,26,0,0,0,2,0,2,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.smic,SMICRelax,0,53,0,2,0,16,0,4,0,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.smic,SMICFastLowerBound,0,58,1,5,0,12,1,4,0,2
