100 5 25591
13278 12340 12364 13137 12523 
695 919 673 945 165 464 
601 871 442 104 522 766 
648 228 727 290 445 484 
914 796 426 335 627 663 
892 165 597 950 395 671 
897 339 560 390 820 983 
606 347 184 137 330 404 
977 285 827 17 985 804 
665 148 746 136 255 149 
1258 900 786 781 840 641 
928 859 778 268 976 897 
701 647 508 753 568 141 
526 313 447 872 473 320 
925 478 121 527 547 602 
860 520 314 63 864 271 
1148 674 896 718 214 964 
749 256 594 821 308 851 
672 192 900 615 842 810 
813 66 656 25 188 685 
860 797 637 635 345 780 
564 277 337 535 529 120 
1079 847 875 15 789 379 
904 571 187 602 643 252 
510 319 117 125 75 781 
1113 868 281 549 874 827 
1081 937 209 854 824 271 
914 830 441 456 41 838 
843 827 681 957 322 272 
701 306 16 688 77 751 
822 6 871 199 597 431 
821 600 692 812 751 551 
766 925 33 413 604 905 
922 736 555 892 334 620 
794 583 328 368 3 983 
564 128 613 86 856 796 
612 832 157 546 381 478 
785 250 678 913 188 935 
692 531 856 87 916 251 
639 318 50 390 831 806 
787 570 104 533 456 67 
684 476 303 85 663 447 
962 213 355 844 873 127 
645 756 824 317 217 389 
862 510 377 457 975 172 
658 335 297 72 174 409 
462 440 255 238 919 273 
729 190 839 583 150 116 
662 696 464 412 490 959 
1103 902 841 804 914 499 
772 518 137 207 222 880 
942 955 239 505 143 657 
811 222 971 782 921 591 
669 900 475 643 594 240 
846 394 737 551 397 561 
802 650 757 210 670 56 
1132 619 582 763 714 938 
388 185 642 383 469 209 
798 740 516 857 663 101 
664 187 198 483 112 812 
944 187 69 440 890 756 
687 281 122 279 282 518 
568 102 677 488 371 635 
572 578 696 215 620 133 
1002 494 665 784 212 404 
881 75 501 782 887 54 
871 616 491 39 159 990 
605 348 523 985 352 193 
684 812 699 187 1 763 
988 985 503 955 691 404 
943 928 696 603 826 511 
452 327 75 887 672 58 
707 860 588 923 821 163 
727 708 843 537 796 174 
919 511 575 281 524 354 
602 35 826 898 741 99 
915 933 88 54 734 509 
757 685 497 28 359 100 
560 875 163 183 894 640 
741 546 487 66 255 170 
1045 793 342 474 714 536 
831 643 854 689 860 205 
868 856 144 35 432 759 
593 961 17 572 298 628 
935 252 488 860 488 731 
911 504 754 498 973 778 
587 167 610 741 327 138 
498 475 850 99 146 443 
525 416 379 295 115 66 
971 11 903 843 634 407 
687 330 991 766 355 146 
895 866 332 879 967 408 
478 390 54 693 69 305 
763 283 62 103 334 580 
729 100 277 6 561 386 
690 581 388 384 822 633 
730 860 26 135 146 969 
950 816 554 842 183 215 
1180 403 714 934 678 795 
1023 744 504 561 677 617 
885 826 622 836 600 620 
