250 5 0
86054 90090 92091 96824 93183 
766 870 404 987 714 155 
1008 851 235 619 333 564 
518 309 6 483 752 813 
850 525 286 820 595 181 
476 77 146 383 774 301 
756 329 167 460 934 574 
622 103 91 258 240 20 
766 341 765 860 842 929 
931 600 624 892 136 751 
838 816 895 566 984 462 
851 421 903 199 153 654 
571 846 86 911 474 484 
833 582 304 531 571 634 
854 193 676 330 728 62 
289 363 363 111 510 90 
400 148 248 309 386 408 
744 522 46 110 656 775 
689 738 290 63 378 548 
847 792 404 532 712 865 
660 558 363 104 219 976 
884 569 79 42 826 916 
1019 2 195 868 904 651 
761 152 447 898 752 37 
521 387 589 386 164 474 
902 845 10 831 540 152 
466 711 472 241 296 568 
621 13 816 487 621 521 
977 527 677 511 348 350 
853 639 467 505 267 582 
696 536 503 836 806 293 
632 684 513 263 382 616 
657 442 9 550 731 155 
791 255 932 875 874 924 
430 234 546 220 302 592 
994 489 771 194 678 903 
719 380 808 502 382 918 
862 931 339 281 609 576 
507 75 478 583 696 273 
689 162 189 519 802 762 
703 771 343 914 535 938 
756 569 401 746 621 791 
667 808 358 12 58 133 
841 980 567 645 204 799 
781 264 172 917 801 582 
872 988 304 247 526 117 
867 879 978 975 534 525 
938 855 61 598 854 500 
550 301 796 4 283 73 
1034 896 809 599 891 36 
607 212 868 400 664 334 
892 522 893 857 253 241 
362 31 532 246 36 310 
952 534 793 526 366 613 
809 35 468 227 990 63 
847 775 63 595 547 598 
967 651 986 132 433 856 
883 406 185 497 111 959 
493 458 185 190 477 429 
581 85 135 190 714 227 
449 34 458 256 7 220 
622 72 32 266 625 698 
842 892 238 28 727 174 
632 560 635 229 625 353 
594 188 975 662 291 576 
793 688 705 795 103 683 
703 21 590 660 335 270 
884 368 517 852 328 651 
421 126 607 445 243 559 
861 237 932 556 708 29 
583 713 71 488 368 205 
785 331 768 186 340 52 
799 739 653 501 314 842 
893 400 334 669 525 235 
449 139 463 551 408 533 
961 891 914 259 690 911 
923 491 765 174 902 437 
485 276 406 179 583 520 
793 311 506 145 440 325 
761 320 966 928 818 569 
577 150 810 860 626 263 
869 738 911 235 295 555 
511 934 726 398 169 119 
753 212 334 582 211 647 
743 527 936 532 938 312 
704 370 999 328 438 19 
652 188 77 413 758 737 
1050 297 867 846 720 327 
537 505 96 397 746 728 
802 289 297 260 609 382 
524 899 112 861 491 166 
400 282 308 441 470 384 
629 410 878 207 852 523 
903 221 775 239 986 426 
1014 606 691 398 641 482 
930 700 248 874 805 776 
538 329 900 413 526 518 
513 145 341 90 168 215 
552 133 877 796 214 263 
564 475 340 505 143 849 
918 17 388 929 976 896 
305 257 133 186 230 27 
667 531 836 153 334 67 
780 715 146 987 236 234 
622 779 352 476 846 232 
876 29 758 566 471 99 
390 24 42 695 124 734 
642 517 480 522 161 655 
873 446 266 914 25 779 
920 117 828 688 741 266 
580 352 602 72 111 932 
742 214 588 14 420 497 
697 262 315 55 198 946 
767 985 982 363 156 692 
837 64 824 494 700 190 
631 558 280 193 521 427 
931 132 708 884 196 454 
939 37 730 1000 297 959 
274 332 396 26 424 33 
605 29 138 859 425 89 
793 891 886 415 886 635 
408 78 616 176 329 702 
522 643 149 197 298 627 
627 214 409 546 783 361 
891 717 690 318 60 820 
492 680 121 976 132 188 
517 436 309 951 122 345 
454 385 670 278 323 526 
842 153 735 505 953 516 
1010 827 253 104 950 459 
893 433 280 187 932 555 
935 905 712 848 786 392 
484 439 487 978 397 80 
927 721 727 603 297 778 
901 520 403 31 874 650 
750 602 101 609 412 462 
1151 405 952 750 496 910 
902 616 578 948 500 88 
652 464 55 357 572 662 
1085 944 873 330 859 959 
632 336 707 41 971 158 
747 792 896 588 569 387 
916 962 587 307 33 754 
597 104 897 335 211 595 
995 180 886 283 719 994 
798 563 455 165 713 495 
707 12 714 66 739 692 
853 751 284 594 575 652 
760 527 690 196 938 799 
736 407 361 86 696 23 
809 812 778 448 795 477 
524 468 614 337 886 164 
399 194 573 81 269 401 
665 974 143 141 985 349 
875 849 247 78 138 981 
361 215 44 223 471 181 
765 381 741 747 822 960 
697 416 69 790 879 322 
643 617 283 482 571 452 
973 6 751 715 649 587 
451 460 680 235 30 316 
576 389 124 789 208 804 
1157 409 799 490 761 912 
912 715 337 994 377 834 
544 598 174 360 642 857 
487 36 218 157 523 562 
947 72 614 204 860 986 
660 391 329 77 394 70 
795 871 676 901 731 186 
693 10 426 630 227 896 
714 778 518 616 562 727 
523 293 5 459 711 318 
702 267 55 739 92 792 
865 419 819 921 594 915 
865 574 525 650 823 599 
666 438 548 796 48 824 
941 657 116 441 846 791 
781 858 257 363 15 468 
680 271 308 121 508 16 
826 248 41 571 453 963 
791 985 50 574 773 237 
642 585 686 50 883 645 
829 835 551 618 273 768 
487 150 719 321 165 175 
474 5 692 346 712 58 
534 471 142 659 166 213 
460 461 792 249 155 412 
735 422 199 73 573 205 
599 184 583 400 883 685 
730 397 36 912 237 931 
486 474 318 332 52 963 
781 836 490 559 793 126 
502 490 488 724 77 708 
636 406 128 938 584 867 
582 262 26 832 109 121 
988 761 64 863 956 61 
762 599 124 819 97 793 
453 378 150 193 556 963 
530 748 515 464 219 204 
984 595 212 839 784 43 
839 411 68 559 252 582 
904 745 429 966 453 373 
683 303 574 953 644 889 
943 180 861 796 869 885 
1089 701 678 864 291 415 
1086 888 685 109 610 795 
1010 484 223 990 689 213 
1007 82 885 637 393 792 
757 726 452 714 866 465 
715 637 813 516 294 804 
736 587 110 604 441 874 
811 769 247 250 155 192 
687 368 963 632 628 86 
1034 50 607 581 905 864 
779 778 786 717 153 535 
618 330 331 738 96 163 
597 662 331 59 734 614 
922 683 140 235 811 869 
943 208 919 694 541 422 
660 698 162 271 585 753 
889 968 169 155 538 796 
824 967 782 29 780 423 
838 41 791 399 917 436 
449 27 808 379 602 424 
820 995 231 754 117 622 
502 144 938 109 132 185 
783 279 609 973 200 283 
915 859 507 94 20 689 
622 602 406 539 463 354 
820 227 786 440 541 406 
611 43 203 922 545 136 
1050 142 591 678 949 708 
1070 695 761 718 861 360 
779 47 284 916 554 822 
470 390 729 15 348 659 
915 716 32 878 637 148 
605 392 113 552 952 428 
761 693 461 339 670 201 
501 458 163 694 431 737 
939 10 476 826 480 450 
433 89 287 644 4 352 
465 196 43 489 125 382 
913 488 984 626 712 227 
1049 530 975 175 674 971 
551 669 701 195 984 187 
894 585 140 750 771 720 
830 487 533 787 18 44 
887 609 252 390 653 48 
857 476 827 357 488 52 
546 177 162 748 806 349 
919 369 963 27 928 534 
