12 464
1 2 8
1 3 7
1 -4 8
1 -5 2
1 -7 6
1 -8 7
1 -10 4
1 11 8
-1 -2 10
-1 3 4
-1 -3 3
-1 4 4
-1 -4 3
-1 -5 8
-1 6 3
-1 8 4
-1 9 3
-1 -12 1
2 5 2
2 6 4
2 -6 2
2 -7 3
2 8 8
2 -8 7
2 -10 8
2 -12 6
-2 -4 9
-2 -5 1
-2 -6 9
-2 7 4
-2 10 7
-2 -10 6
3 5 2
3 -5 7
3 -6 1
3 7 2
3 -9 2
3 -11 3
3 12 10
-3 6 7
-3 -8 3
-3 11 2
-3 -11 6
-3 -12 10
4 -5 10
4 -6 9
4 -7 7
-4 -5 5
-4 -6 6
-4 8 9
-4 9 3
-4 10 3
-4 -12 5
5 -7 10
5 9 6
5 -9 1
-5 7 6
-5 9 8
-5 -12 1
6 -7 4
6 9 5
6 -9 2
-6 8 6
-6 9 7
-6 -9 6
-6 10 2
-6 -10 5
-6 -11 5
7 8 1
7 -8 9
7 10 9
7 -10 1
7 11 3
7 12 8
7 -12 10
-7 8 7
-7 -8 2
-7 9 4
-7 -10 7
-7 11 4
-7 -11 10
-7 -12 10
-8 9 8
-8 -10 7
-8 12 2
9 11 5
-9 10 7
-9 -12 9
10 11 10
10 -12 9
-10 12 2
-10 -12 1
11 12 6
