task,th,tr,tc,successor
1,134,268,100000,"[6, 7, 8]"
2,41,82,29,"[5, 9]"
3,23,100000,16,[10]
4,58,116,41,[23]
5,135,270,100000,"[12, 14]"
6,189,100000,100000,"[11, 12, 13]"
7,198,396,139,"[12, 15]"
8,211,100000,148,"[11, 44]"
9,163,326,100000,"[11, 31, 34]"
10,122,100000,100000,[11]
11,127,100000,100000,[19]
12,142,100000,100000,"[16, 17, 37]"
13,23,100000,16,[37]
14,194,100000,136,"[18, 44, 62, 65]"
15,95,100000,66,"[16, 31]"
16,24,100000,100000,[]
17,113,100000,100000,"[20, 23, 24]"
18,132,100000,92,"[59, 61]"
19,122,100000,100000,"[21, 22, 47]"
20,130,260,100000,"[30, 31]"
21,24,100000,100000,"[27, 28, 30]"
22,120,100000,100000,"[26, 43]"
23,82,100000,100000,"[25, 38]"
24,205,410,100000,"[28, 29, 32]"
25,126,100000,100000,"[33, 41, 52]"
26,32,100000,100000,"[59, 69, 92]"
27,125,100000,100000,"[36, 37]"
28,233,100000,163,"[41, 60]"
29,154,308,108,"[33, 36, 38, 40]"
30,147,100000,103,"[39, 65, 93]"
31,134,268,100000,[35]
32,94,100000,66,"[34, 47, 65]"
33,272,544,100000,"[42, 44, 45]"
34,60,100000,100000,[42]
35,113,226,79,[43]
36,96,100000,100000,"[43, 51]"
37,118,100000,100000,[70]
38,92,184,100000,"[45, 62, 65]"
39,103,100000,100000,[]
40,162,324,113,"[51, 52]"
41,198,100000,100000,[42]
42,238,476,100000,"[49, 62, 70]"
43,49,100000,34,"[46, 48, 50, 52]"
44,70,140,100000,"[47, 51, 70]"
45,243,100000,170,"[46, 49, 70]"
46,101,202,100000,[58]
47,143,100000,100,[58]
48,91,182,64,"[55, 56, 68]"
49,236,472,165,"[55, 57, 58]"
50,82,100000,100000,"[67, 80]"
51,152,304,106,"[54, 66]"
52,241,482,100000,"[53, 54, 56, 57]"
53,78,100000,100000,"[58, 60, 61, 62]"
54,160,100000,112,[59]
55,231,462,162,"[59, 63]"
56,91,100000,64,"[61, 76, 89, 90]"
57,109,100000,100000,"[67, 76, 80]"
58,135,100000,100000,"[63, 66, 67]"
59,215,430,150,[64]
60,171,100000,100000,"[65, 68, 84, 88]"
61,29,58,20,[91]
62,180,100000,100000,[98]
63,206,100000,144,[69]
64,89,178,100000,[72]
65,161,100000,100000,"[70, 86]"
66,267,534,187,"[68, 69, 73, 74]"
67,44,100000,100000,[71]
68,235,470,100000,[78]
69,135,100000,94,"[77, 80]"
70,46,92,100000,"[81, 92]"
71,47,94,33,"[75, 79]"
72,435,100000,100000,[78]
73,95,100000,100000,[79]
74,125,100000,100000,"[75, 76, 79]"
75,61,100000,100000,[84]
76,21,100000,100000,[85]
77,83,166,100000,[86]
78,259,100000,100000,"[81, 82, 100]"
79,57,100000,100000,"[83, 87]"
80,124,248,100000,[]
81,141,282,99,[91]
82,104,208,100000,[]
83,212,424,100000,[92]
84,305,100000,100000,[90]
85,84,100000,59,"[93, 94]"
86,154,100000,108,[89]
87,206,100000,144,[88]
88,58,116,100000,"[95, 100]"
89,214,428,100000,[]
90,183,100000,128,"[93, 98]"
91,199,100000,100000,"[94, 99]"
92,188,376,100000,"[96, 97]"
93,31,100000,22,[]
94,68,100000,48,[]
95,73,100000,100000,[]
96,229,100000,160,[]
97,317,634,100000,[]
98,22,100000,15,[]
99,100,200,70,[]
100,68,136,100000,[]
