task,th,tr,tc,successor
1,256,512,100000,[8]
2,640,100000,100000,[8]
3,252,100000,100000,[8]
4,59,100000,100000,[8]
5,48,100000,34,[27]
6,559,1118,100000,[9]
7,322,644,225,[42]
8,134,100000,100000,"[10, 11, 12, 13, 14, 16]"
9,370,100000,259,"[15, 16]"
10,84,168,100000,"[17, 26]"
11,195,390,100000,[19]
12,536,1072,100000,"[17, 18]"
13,502,100000,100000,"[36, 39]"
14,146,292,100000,"[30, 39]"
15,23,100000,100000,"[18, 25]"
16,169,338,118,[19]
17,87,100000,100000,[27]
18,64,100000,100000,"[20, 22]"
19,88,100000,62,"[20, 21, 36]"
20,142,284,100000,"[24, 29]"
21,72,100000,50,"[25, 27, 29]"
22,255,100000,178,"[23, 26]"
23,167,334,117,[27]
24,101,202,100000,[27]
25,185,100000,130,[41]
26,295,590,206,"[28, 29, 30]"
27,61,100000,100000,"[31, 32, 33, 34, 35, 37]"
28,206,412,144,[41]
29,183,100000,100000,"[37, 41]"
30,62,124,43,[36]
31,28,56,20,[41]
32,128,100000,90,[38]
33,195,100000,100000,"[39, 45]"
34,289,100000,100000,"[39, 40]"
35,480,100000,100000,[]
36,136,272,100000,[]
37,35,100000,100000,"[39, 40]"
38,104,208,100000,[41]
39,131,100000,92,[43]
40,510,100000,100000,"[42, 44, 45]"
41,68,100000,48,"[46, 47, 48, 49, 50]"
42,223,100000,156,[]
43,91,100000,64,[]
44,481,100000,100000,[]
45,27,100000,100000,[]
46,86,172,60,[]
47,127,254,100000,[]
48,261,100000,183,[]
49,23,46,100000,[]
50,67,100000,100000,[]
