task,th,tr,tc,successor
1,171,100000,100000,"[5, 6, 7]"
2,170,100000,100000,"[5, 15]"
3,128,100000,90,"[5, 8]"
4,54,100000,38,"[13, 20]"
5,83,166,58,"[13, 14]"
6,34,100000,100000,[9]
7,46,92,32,"[10, 11]"
8,205,410,144,"[10, 11]"
9,27,54,100000,"[12, 13]"
10,185,100000,130,[15]
11,110,220,100000,[14]
12,376,100000,100000,"[15, 16, 17]"
13,154,100000,108,[16]
14,235,100000,100000,"[17, 18]"
15,193,386,100000,"[18, 19, 20]"
16,181,362,100000,"[18, 19]"
17,35,100000,24,[]
18,131,262,100000,[]
19,170,100000,100000,[]
20,121,100000,100000,[]
